project,Sample name,n_ecDNA_amplicons
LUAD,TCGA-91-6831-01A-11D-1853-02_MN_11A-02D-1853,1
LUAD,TCGA-91-6836-01A-21D-1853-02_MN_11A-01D-1853,1
LUAD,TCGA-91-6840-01A-11D-1945-08_MN_10A-01D-1946,1
LUAD,TCGA-91-6847-01A-11D-1945-08_MN_11A-01D-1945,1
LUAD,TCGA-97-8171-01A-11D-2284-08_MN_10A-01D-2284,1
LUSC,TCGA-18-3415-01A-01D-A320-08_MN_11A-01D-A320,2
LUSC,TCGA-43-3394-01A-01D-1553-08_MN_11A-01D-1553,2
LUSC,TCGA-60-2711-01A-01D-0963-08_MN_11A-01D-0963,2
LUSC,TCGA-66-2756-01A-01D-1180-08_MN_11A-01D-1180,2
LUSC,TCGA-85-8277-01A-11D-2293-08_MN_10A-01D-2293,2
LUSC,TCGA-22-5477-01A-01D-1632-08_MN_11A-11D-1632,1
LUSC,TCGA-37-4135-01A-01D-A320-08_MN_10A-01D-A320,1
LUSC,TCGA-43-5670-01A-21D-A320-08_MN_10A-01D-A320,1
LUSC,TCGA-60-2695-01A-01D-1180-08_MN_11A-01D-1180,1
LUSC,TCGA-60-2722-01A-01D-1180-08_MN_11A-01D-1180,1
LUSC,TCGA-60-2726-01A-01D-1522-08_MN_11A-01D-1522,1
LUSC,TCGA-66-2744-01A-01D-A320-08_MN_11A-01D-A320,1
LUSC,TCGA-66-2759-01A-01D-A320-08_MN_11A-01D-A320,1
LUSC,TCGA-66-2766-01A-01D-1180-08_MN_11A-01D-1180,1
LUSC,TCGA-66-2789-01A-01D-A320-08_MN_11A-01D-A320,1
LUSC,TCGA-66-2793-01A-01D-1267-08_MN_11A-01D-1267,1
LUSC,TCGA-66-2795-01A-02D-A320-08_MN_11A-01D-A320,1
LUSC,TCGA-77-7139-01A-11D-A320-08_MN_10A-01D-A320,1
LUSC,TCGA-92-8064-01A-11D-2244-08_MN_10A-01D-2244,1
LUSC,TCGA-94-7943-01A-11D-A320-08_MN_10A-01D-A320,1
LUSC,TCGA-96-7545-01A-21D-A320-08_MN_10A-01D-A320,1
OV,TCGA-61-2000-01A-01D-A324-10_MN_11A-01D-A324,10
OV,TCGA-24-1466-01A-01D-A312-08_MN_10A-01D-A312,5
OV,TCGA-24-1419-01A-01D-A324-10_MN_10A-01D-A324,2
OV,TCGA-24-1562-01A-01D-A312-08_MN_10A-01D-A312,2
OV,TCGA-25-1319-01A-01D-0516-08_MN_10A-01D-0516,2
OV,TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,1
OV,TCGA-04-1371-01A-01D-0516-08_MN_11A-01D-0516,1
OV,TCGA-09-2045-01A-01D-A324-10_MN_11A-01D-A324,1
OV,TCGA-10-0938-01A-02D-A312-08_MN_11A-01D-A312,1
OV,TCGA-13-0723-01A-02D-0447-09_MN_10B-01D-0447,1
OV,TCGA-13-0751-01A-01D-0446-08_MN_10A-01D-0446,1
OV,TCGA-23-1118-01A-01D-A312-08_MN_10A-01D-A312,1
OV,TCGA-24-1552-01A-01D-A324-10_MN_10A-01D-A324,1
OV,TCGA-24-1557-01A-01D-A312-08_MN_10A-01D-A312,1
OV,TCGA-24-1558-01A-01D-A324-10_MN_10A-01D-A324,1
OV,TCGA-24-1614-01A-01D-A312-08_MN_10A-01D-A312,1
OV,TCGA-25-1632-01A-01D-A312-08_MN_10A-01D-A312,1
OV,TCGA-25-2400-01A-01D-A312-08_MN_10A-01D-A312,1
OV,TCGA-36-1570-01A-01D-A324-10_MN_10A-01D-A324,1
OV,TCGA-36-1571-01A-01D-A324-10_MN_10A-01D-A324,1
OV,TCGA-36-1574-01A-01D-A324-10_MN_10A-01D-A324,1
PRAD,TCGA-CH-5761-01A-11D-1572-02_MN_11A-01D-1572,3
PRAD,TCGA-CH-5751-01A-11D-1572-02_MN_10A-01D-1572,1
SARC,TCGA-DX-A1KU-01A-32D-A24N-09_MN_10A-01D-A24N,1
SARC,TCGA-DX-A1KW-01A-22D-A24N-09_MN_10A-01D-A24N,1
SARC,TCGA-DX-A1L0-01A-11D-A24N-09_MN_10A-01D-A24N,1
